Date,Open,High,Low,Close,Volume,Change
2021-09-07,51600,51900,51200,51400,993703,-0.007722007722007707
2021-09-08,51400,52500,51400,52500,1697491,0.021400778210116655
2021-09-09,51900,52500,51800,51800,1304317,-0.013333333333333308
2021-09-10,51900,52000,51100,51500,1371352,-0.00579150579150578
2021-09-13,51300,51900,51100,51800,948301,0.005825242718446644
2021-09-14,52200,53000,52200,52300,2061406,0.009652509652509744
2021-09-15,51800,53000,51700,52700,1095987,0.007648183556405286
2021-09-16,52900,53100,51800,52100,974810,-0.011385199240986688
2021-09-17,52100,52200,51800,52100,914476,0.0
2021-09-23,51200,51900,50800,51500,1181357,-0.01151631477927062
